PositionX PositionY PositionZ RotationX RotationY RotataionZ SpeedX SpeedY SpeedZ RMP
1.777735 -6.393596 104.4827 40.00001 2.892079E-05 4.736851E-05 -2.807913E-06 -1.336218 12.56194 0
1.777735 -6.553942 105.9901 40.00001 2.892079E-05 4.736851E-05 -2.807858E-06 -1.336218 12.56194 0
1.777735 -6.714288 107.4975 40.00001 2.892079E-05 4.736851E-05 -2.807829E-06 -1.336218 12.56194 0
1.777735 -6.84791 108.7537 40.00001 2.892079E-05 4.736851E-05 -2.807816E-06 -1.336218 12.56194 0
1.777735 -7.008256 110.2611 40.00001 2.892079E-05 4.736851E-05 -2.807806E-06 -1.336218 12.56194 0
1.777735 -7.141878 111.5173 40.00001 2.892079E-05 4.736851E-05 -2.807802E-06 -1.336218 12.56194 0
1.777735 -7.302224 113.0247 40.00001 2.892079E-05 4.736851E-05 -2.8078E-06 -1.336218 12.56194 0
1.777735 -7.46257 114.5321 40.00001 2.892079E-05 4.736851E-05 -2.807798E-06 -1.336218 12.56194 0
