PositionX PositionY PositionZ RotationX RotationY RotataionZ Speed SpeedX SpeedY SpeedZ RMP
3.150512 -16.22281 133.9022 32.95758 357.2163 1.376141 12.13752 -0.8805367 -0.2026008 12.10384 0
3.050152 -16.25601 135.3605 32.95886 357.2168 1.375863 12.13762 -0.8803701 -0.2027447 12.10395 0
2.949812 -16.28922 136.8189 32.96016 357.2173 1.375584 12.13772 -0.8802032 -0.2028932 12.10406 0
2.849491 -16.32244 138.2772 32.96144 357.2178 1.375305 12.13782 -0.8800362 -0.2030451 12.10417 0
2.732474 -16.36122 139.9786 32.96294 357.2184 1.374979 12.13793 -0.8798415 -0.2032252 12.1043 0
2.648906 -16.38893 141.1939 32.964 357.2188 1.374747 12.13801 -0.8797023 -0.2033548 12.10439 0
2.548642 -16.42221 142.6524 32.96529 357.2193 1.374469 12.13811 -0.8795352 -0.2035099 12.1045 0
2.431691 -16.46105 144.3539 32.96678 357.2199 1.374144 12.13823 -0.8793402 -0.2036914 12.10462 0
2.331469 -16.49436 145.8123 32.96807 357.2204 1.373865 12.13833 -0.8791732 -0.2038463 12.10473 0
2.231265 -16.5277 147.2707 32.96935 357.2209 1.373586 12.13843 -0.8790063 -0.2040022 12.10484 0
2.131081 -16.56104 148.7292 32.97063 357.2214 1.373308 12.13853 -0.8788395 -0.2041584 12.10495 0
2.047608 -16.58884 149.9445 32.9717 357.2219 1.373076 12.13861 -0.8787006 -0.2042889 12.10504 0
