PositionX PositionY PositionZ RotationX RotationY RotataionZ Speed SpeedX SpeedY SpeedZ RMP
0.4142199 -17.13615 173.7679 32.99261 357.2301 1.368541 12.14022 -0.8759793 -0.2068375 12.10681 0
0.3143817 -17.16981 175.2266 32.99389 357.2306 1.368263 12.14032 -0.875813 -0.2069937 12.10692 0
0.2311978 -17.19787 176.4422 32.99496 357.231 1.368031 12.1404 -0.8756744 -0.2071241 12.10701 0
0.148027 -17.22595 177.6578 32.99601 357.2315 1.367801 12.14049 -0.8755358 -0.2072544 12.1071 0
0.03161009 -17.26527 179.3596 32.99751 357.2321 1.367478 12.1406 -0.8753419 -0.2074372 12.10722 0
-0.03490226 -17.28776 180.3321 32.99835 357.2324 1.367293 12.14067 -0.8752311 -0.2075412 12.1073 0
-0.1346549 -17.32149 181.7908 32.99964 357.2329 1.367015 12.14076 -0.8750648 -0.2076972 12.10741 0
-0.2343886 -17.35524 183.2496 33.0009 357.2334 1.366738 12.14086 -0.8748987 -0.2078533 12.10751 0
