PositionX,PositionY,PositionZ,RotationX,RotationY,RotataionZ,Speed,SpeedX,SpeedY,SpeedZ
-10.14069,22.38073,154.3383,42.31627,342.8206,343.5748,12.68657,-0.7217984,-2.083884,12.49342
-10.15594,22.34001,154.5878,42.31622,342.8209,343.5751,12.68657,-0.7214204,-2.083898,12.49344
-10.18641,22.25856,155.0866,42.3161,342.8213,343.5756,12.68658,-0.7207806,-2.083917,12.49348
-10.23208,22.13639,155.8349,42.31594,342.8219,343.5764,12.68658,-0.7200582,-2.083922,12.49352
-10.2473,22.09566,156.0843,42.31587,342.8221,343.5767,12.68658,-0.7198683,-2.08392,12.49354
-10.27773,22.01422,156.5832,42.31575,342.8224,343.5772,12.68658,-0.7195504,-2.083909,12.49356
-10.30814,21.93277,157.0821,42.31564,342.8228,343.5777,12.68658,-0.7193004,-2.083892,12.49357
-10.33541,21.86098,157.5702,30.20671,344.8374,344.7763,12.48986,-0.6664246,-1.921471,12.32316
-10.35456,21.80342,158.0329,16.14424,346.6297,345.4875,11.88006,-0.4708587,-1.491711,11.77663
-10.36077,21.77581,158.2539,7.006313,347.6487,345.6928,11.53424,-0.3671474,-1.465343,11.43489
-10.37845,21.63124,158.8755,7.006077,347.6487,345.6933,10.67875,-0.2302379,-2.447998,10.39182
-10.38408,21.56323,159.0707,7.005997,347.6487,345.6935,10.50975,-0.2234534,-2.947116,10.0856
-10.40025,21.30337,159.6234,7.005763,347.6487,345.6941,10.2363,-0.2050178,-4.371779,9.253507
-10.41041,21.0874,159.9642,7.005605,347.6487,345.6945,10.15949,-0.1928439,-5.236205,8.704038
-10.41529,20.96814,160.1257,7.005527,347.6487,345.6946,10.1276,-0.1864482,-5.631622,8.415366
-10.42908,20.57301,160.5716,7.00529,347.6487,345.6952,9.994168,-0.1656175,-6.631579,7.475168
-10.43338,20.4311,160.7068,7.005214,347.6487,345.6954,9.929708,-0.1582185,-6.897616,7.141215
-10.44153,20.13581,160.9568,7.005055,347.6487,345.6958,9.772467,-0.1431285,-7.331261,6.460126
-10.45265,19.67213,161.282,7.004819,347.6487,345.6963,9.494974,-0.1208939,-7.769545,5.456563
-10.45608,19.51374,161.3778,7.004739,347.6487,345.6965,9.400054,-0.1138419,-7.870593,5.138269
-10.46255,19.19311,161.552,7.004582,347.6487,345.6969,9.217248,-0.1005263,-8.022516,4.537267
-10.47139,18.70568,161.7741,7.004347,347.6487,345.6974,8.976295,-0.08280117,-8.160884,3.737242
-10.47933,18.21379,161.9557,7.004109,347.6487,345.698,8.785253,-0.06783893,-8.234118,3.06192
-10.4818,18.04924,162.0084,7.004031,347.6487,345.6982,8.732583,-0.06343267,-8.249665,2.863043
-10.48419,17.88449,162.0576,7.003953,347.6487,345.6984,8.68502,-0.05929777,-8.262136,2.676413
-10.48877,17.55455,162.1464,7.003796,347.6487,345.6988,8.603904,-0.05178973,-8.280121,2.337537
-10.49309,17.22419,162.2238,7.003638,347.6487,345.6991,8.539123,-0.04520851,-8.29162,2.040492
-10.49719,16.89357,162.291,7.003482,347.6487,345.6995
